model,flops,flops_G,accuracy,latency_ms,model_size_mb
resnet18,1824033792,1.824,78.1401,2.039,44.67
resnet34,3678739456,3.679,81.3503,3.651,83.28
resnet50,4133742592,4.134,86.293,4.999,97.79
resnet152,11603945472,11.604,90.6242,14.484,230.48
