individual,alpha_sys,avg_flops_G
15,0.9516778523489933,4.41570581655481
3,0.9515659955257271,4.029593400447427
44,0.9511185682326622,3.785122483221476
19,0.9491051454138703,3.7559306487695756
14,0.948434004474273,4.137732662192394
2,0.9482102908277404,3.6574882550335572
4,0.9468680089485458,3.493476510067114
25,0.9429530201342282,3.668106263982103
42,0.939261744966443,3.6494121923937364
48,0.938255033557047,3.1422595078299778
39,0.9322147651006711,2.9203501118568234
32,0.93165548098434,3.6854373601789705
47,0.9313199105145414,2.875428970917226
5,0.9308724832214765,3.20610067114094
21,0.928076062639821,3.387483780760627
13,0.9263982102908277,3.543350111856824
36,0.9241610738255034,3.135511744966443
17,0.9228187919463087,2.666148210290828
33,0.921923937360179,2.7107774049217004
24,0.920917225950783,2.9371202460850117
0,0.9204697986577182,3.3153333333333337
11,0.9201342281879195,2.7059088366890385
34,0.9191275167785234,2.792590044742729
45,0.9190156599552572,2.6549798657718124
46,0.9186800894854587,3.0024832214765107
28,0.9181208053691275,2.788443512304251
49,0.916331096196868,2.651009507829978
9,0.9155480984340044,2.8594932885906044
12,0.9148769574944071,2.850964765100671
10,0.9139821029082774,2.737254474272931
16,0.9134228187919463,2.620762863534676
6,0.9130872483221476,2.66412807606264
31,0.9123042505592841,2.530818791946309
41,0.9118568232662192,2.6197790827740497
8,0.9114093959731544,2.5565268456375847
22,0.9111856823266219,2.643907718120806
18,0.910178970917226,2.867228187919463
29,0.9080536912751678,2.440616890380313
26,0.9067114093959732,2.4642997762863534
1,0.9044742729306487,3.2392651006711413
35,0.9036912751677852,2.819434004474273
43,0.9029082774049217,2.4849340044742725
27,0.9012304250559284,2.406786912751678
7,0.9008948545861297,3.8117298657718117
37,0.9007829977628635,2.9025201342281877
30,0.8997762863534675,2.401627516778524
38,0.8904921700223714,2.392418903803132
40,0.887248322147651,2.31311744966443
23,0.8863534675615212,3.184385346756152
20,0.8859060402684564,2.225348993288591
