16:40:34  Log file: /home/cs24bt033/CS24BT033_Work/code/CIFAR_10/CIFAR_10_Implementation/dispatcher/results/logs/nsga2_ins_loss_20260905_164034.log
16:40:34  Device: cuda:0  |  Pop: 50  |  Gen: 30  |  FC epochs: 30  |  Bias handling: INS class-weighted LOSS (not sampling)  |  GA engine: pymoo
16:40:34  Loading train embeddings...
16:40:34  Embeddings shape: (41872, 64)
16:40:34  Correctness matrix shape: (41872, 4)
16:40:34  INS class weights: [2.3389407e-03 3.5534766e-01 1.1548798e+00 2.4874334e+00]
16:40:34  
Starting search: 50 initial individuals, then 30 generations of 50 offspring each...

17:05:44    [eval #  84]  alpha_sys=99.30%  flops=215.626G
17:06:02    [eval #  85]  alpha_sys=99.35%  flops=254.916G
17:06:19    [eval #  86]  alpha_sys=99.30%  flops=117.653G
17:06:37    [eval #  87]  alpha_sys=99.32%  flops=173.723G
17:06:56    [eval #  88]  alpha_sys=99.28%  flops=83.033G
17:07:14    [eval #  89]  alpha_sys=99.21%  flops=118.158G
17:07:33    [eval #  90]  alpha_sys=99.27%  flops=132.908G
17:07:51    [eval #  91]  alpha_sys=99.33%  flops=189.673G
17:08:10    [eval #  92]  alpha_sys=99.34%  flops=256.688G
17:08:28    [eval #  93]  alpha_sys=99.25%  flops=139.640G
17:08:46    [eval #  94]  alpha_sys=99.30%  flops=119.555G
17:09:04    [eval #  95]  alpha_sys=99.29%  flops=155.814G
17:09:22    [eval #  96]  alpha_sys=99.17%  flops=51.105G
17:09:40    [eval #  97]  alpha_sys=99.30%  flops=116.942G
17:09:58    [eval #  98]  alpha_sys=99.27%  flops=145.429G
17:10:15    [eval #  99]  alpha_sys=99.24%  flops=100.240G
17:10:33    [eval # 100]  alpha_sys=99.39%  flops=250.465G
17:10:33  -- Generation 2/30 done  |  best_alpha_sys=99.41%  best_low_flops=44.213G --
17:10:51    [eval # 101]  alpha_sys=99.38%  flops=253.231G
17:11:08    [eval # 102]  alpha_sys=99.41%  flops=224.608G
17:11:26    [eval # 103]  alpha_sys=99.21%  flops=129.024G
17:11:45    [eval # 104]  alpha_sys=99.23%  flops=94.793G
17:12:03    [eval # 105]  alpha_sys=99.32%  flops=157.955G
17:12:20    [eval # 106]  alpha_sys=99.29%  flops=142.398G
17:12:38    [eval # 107]  alpha_sys=99.29%  flops=176.209G
17:12:56    [eval # 108]  alpha_sys=99.26%  flops=66.658G
17:13:14    [eval # 109]  alpha_sys=99.25%  flops=77.446G
17:13:32    [eval # 110]  alpha_sys=99.22%  flops=122.713G
17:13:50    [eval # 111]  alpha_sys=99.29%  flops=123.871G
17:14:08    [eval # 112]  alpha_sys=99.24%  flops=96.730G
17:14:26    [eval # 113]  alpha_sys=99.27%  flops=98.107G
17:14:44    [eval # 114]  alpha_sys=99.28%  flops=88.370G
17:15:02    [eval # 115]  alpha_sys=99.28%  flops=140.302G
17:15:19    [eval # 116]  alpha_sys=99.34%  flops=208.353G
17:15:37    [eval # 117]  alpha_sys=99.28%  flops=76.865G
17:15:54    [eval # 118]  alpha_sys=99.25%  flops=103.602G
17:16:11    [eval # 119]  alpha_sys=99.34%  flops=148.266G
17:16:29    [eval # 120]  alpha_sys=99.25%  flops=120.685G
17:16:47    [eval # 121]  alpha_sys=99.33%  flops=136.111G
17:17:05    [eval # 122]  alpha_sys=99.28%  flops=116.081G
17:17:24    [eval # 123]  alpha_sys=99.27%  flops=71.549G
17:17:42    [eval # 124]  alpha_sys=99.33%  flops=164.419G
17:18:01    [eval # 125]  alpha_sys=99.37%  flops=198.202G
17:18:19    [eval # 126]  alpha_sys=99.18%  flops=102.029G
17:18:38    [eval # 127]  alpha_sys=99.16%  flops=89.998G
17:18:56    [eval # 128]  alpha_sys=99.27%  flops=88.232G
17:19:14    [eval # 129]  alpha_sys=99.28%  flops=169.697G
17:19:32    [eval # 130]  alpha_sys=99.32%  flops=242.306G
17:19:50    [eval # 131]  alpha_sys=99.32%  flops=133.989G
17:20:08    [eval # 132]  alpha_sys=99.27%  flops=94.427G
17:20:26    [eval # 133]  alpha_sys=99.32%  flops=149.806G
17:20:44    [eval # 134]  alpha_sys=99.32%  flops=180.934G
17:21:02    [eval # 135]  alpha_sys=99.35%  flops=151.986G
17:21:20    [eval # 136]  alpha_sys=99.28%  flops=96.563G
17:21:37    [eval # 137]  alpha_sys=99.36%  flops=137.339G
17:21:55    [eval # 138]  alpha_sys=99.34%  flops=201.067G
17:22:13    [eval # 139]  alpha_sys=99.18%  flops=64.922G
17:22:31    [eval # 140]  alpha_sys=99.26%  flops=121.332G
17:22:49    [eval # 141]  alpha_sys=99.23%  flops=80.751G
17:23:07    [eval # 142]  alpha_sys=99.26%  flops=162.093G
17:23:25    [eval # 143]  alpha_sys=99.16%  flops=53.517G
17:23:43    [eval # 144]  alpha_sys=99.32%  flops=133.866G
17:24:01    [eval # 145]  alpha_sys=99.27%  flops=98.302G
