individual,alpha_sys,avg_flops_G,recall_resnet20,precision_resnet20,recall_resnet32,precision_resnet32,recall_shufflenetv2_x2_0,precision_shufflenetv2_x2_0,recall_vgg16_bn,precision_vgg16_bn
0,0.9934801299197554,165.19377053878486,0.05121033850901726,0.9976514795678723,0.29304029304029305,0.0075815011372251705,0.7857142857142857,0.0027182866556836904,0.1794871794871795,0.0014253716147424149
11,0.9934801299197554,148.28247444593043,0.06037226347767383,0.9988033506182689,0.21611721611721613,0.005058732744576867,0.8333333333333334,0.0025997177449305505,0.0,0.0
6,0.9933846006878104,180.29518222200994,0.09796026617803066,0.9985254362251167,0.0989010989010989,0.008062108091967751,0.8928571428571429,0.00258211113406321,0.1282051282051282,0.0009245562130177514
13,0.993336836071838,130.2803221723347,0.019336483749638346,1.0,0.5677655677655677,0.007882825611554697,0.6190476190476191,0.0024683153747567287,0.05128205128205128,0.0058823529411764705
4,0.993336836071838,179.7738928162017,0.06128845597453949,0.9996067636649626,0.0695970695970696,0.0049479166666666664,0.9404761904761905,0.00250213790263833,0.05128205128205128,0.0005107252298263534
2,0.9933129537638518,160.42605726977453,0.36252290481242166,0.9962894248608535,0.018315018315018316,0.0033944331296673455,0.7142857142857143,0.0038945865247306246,0.41025641025641024,0.001615998384001616
20,0.9930502483760031,101.48314386702329,0.25701610569968175,0.9959824348313557,0.6483516483516484,0.009738116197183098,0.40476190476190477,0.0028164347249834327,0.07692307692307693,0.003257328990228013
1,0.9929308368360719,182.3693234142147,0.1904233773748674,0.9963416172574745,0.007326007326007326,0.004618937644341801,0.9047619047619048,0.002961923691492264,0.28205128205128205,0.0014007385712466573
28,0.9929069545280856,125.6301910584639,0.19160478348924678,0.9957398822202731,0.706959706959707,0.008701532912533814,0.05952380952380952,0.0023105360443622922,0.41025641025641024,0.0016759191369016444
18,0.9928830722200993,115.84988058846005,0.2940736811650111,0.9957547554902441,0.5347985347985348,0.01006618863761721,0.4523809523809524,0.003430531732418525,0.20512820512820512,0.0019792182088075212
9,0.9928830722200993,82.31650769010315,0.33563988812807405,0.9962072420208959,0.7106227106227107,0.009441767654645447,0.23809523809523808,0.002962962962962963,0.05128205128205128,0.0033277870216306157
26,0.9928591899121131,131.9072327569736,0.14203394734304176,0.9984745762711864,0.6959706959706959,0.009904603033936298,0.2619047619047619,0.002113555576904602,0.2564102564102564,0.001567398119122257
19,0.9927397783721819,153.5500069258693,0.13019577587038286,0.9974141115626154,0.5018315018315018,0.006416561285185705,0.011904761904761904,0.018518518518518517,0.7435897435897436,0.0019265262738324587
12,0.9926920137562094,80.68209710546427,0.10087761597068184,0.9976156413924654,0.9047619047619048,0.007543597104724674,0.15476190476190477,0.0027088976870181286,0.0,0.0
7,0.9926203668322506,80.97153013947266,0.12667566785610956,0.99923925446938,0.9194139194139194,0.008027119511337107,0.20238095238095238,0.003231939163498099,0.0,0.0
22,0.9926203668322506,69.4209760699274,0.2669254508631498,0.9974772502027209,0.8901098901098901,0.008388277123822016,0.023809523809523808,0.0022002200220022,0.02564102564102564,0.0011173184357541898
17,0.992548719908292,70.59679977072983,0.41467354614716945,0.9957158571180456,0.7985347985347986,0.009818050801657359,0.0,0.0,0.1282051282051282,0.0023618327822390174
21,0.992453190676347,126.05519153611002,0.12014176873372553,0.9983971148066519,0.7582417582417582,0.009283343797650013,0.2261904761904762,0.0022963500120860526,0.28205128205128205,0.0017435409732128706
27,0.9924054260603745,56.24552350019106,0.45780692448645,0.99606567696585,0.8241758241758241,0.009866690054376424,0.0,0.0,0.0,
23,0.9923815437523882,58.394653467711116,0.3813289613270325,0.9964717741935484,0.8681318681318682,0.009115735220585407,0.0,,0.0,0.0
8,0.992357661444402,75.86088913832631,0.5673883691773556,0.9947163750105672,0.32234432234432236,0.00863337584616894,0.34523809523809523,0.0036155092881186885,0.0,
5,0.9923337791364157,65.63353338746657,0.2108207155945607,0.9960132133500399,0.8974358974358975,0.0076018492661888365,0.05952380952380952,0.005787037037037037,0.0,
15,0.9922143675964845,60.0305098872755,0.6050004822065773,0.9930742441032135,0.5164835164835165,0.010225542098774385,0.08333333333333333,0.002491103202846975,0.0,0.0
29,0.9920233091325946,54.66616020252196,0.5118622818015238,0.9930769950416316,0.63003663003663,0.008392700302527568,0.0,,0.0,
14,0.9919994268246083,64.12580387848682,0.5418555309094416,0.9938091447775714,0.6483516483516484,0.010120068610634648,0.0,0.0,0.10256410256410256,0.0022766078542970974
10,0.9918083683607184,57.00532814291172,0.7675523194136368,0.9923319098531841,0.41025641025641024,0.015787989850577954,0.03571428571428571,0.00145985401459854,0.0,0.0
3,0.9916889568207872,53.5081794516622,0.7686613945414216,0.9927755114751036,0.3992673992673993,0.014328907585118969,0.09523809523809523,0.0037174721189591076,0.0,
24,0.9916411922048147,52.557525076423374,0.6810685697752917,0.9933187987903509,0.5457875457875457,0.011924769907963186,0.011904761904761904,0.0010660980810234541,0.0,0.0
25,0.9907336645013374,41.14443040695452,0.9886681454335037,0.9908181510655777,0.047619047619047616,0.026804123711340205,0.0,,0.0,0.0
16,0.9905426060374475,40.86206032670996,0.9981435046774038,0.9905251824380907,0.0,0.0,0.0,,0.0,
