individual,alpha_sys,avg_model_cost,P_01,P_02,P_03,P_10,P_12,P_13,P_20,P_21,P_23,P_30,P_31,P_32
41,0.9103,12.7127,4.2085,3.6946,0.6482,2.2791,0.8703,4.5182,1.2312,1.4631,3.5827,1.0965,4.1344,2.4489
48,0.9101,12.5581,4.1724,2.7618,3.3571,0.9828,0.8777,1.0287,0.7096,2.429,1.2969,1.0972,2.7595,2.4575
36,0.91,12.3927,4.1783,2.8773,2.6475,0.1746,0.5872,2.4014,0.9093,4.7279,3.4777,0.8855,0.6007,2.1262
18,0.9096,11.9924,4.1767,3.7466,0.7345,0.2595,0.5505,4.5783,0.6588,1.2175,3.6759,0.5954,4.1344,3.426
24,0.9086,11.9256,3.8432,3.7579,4.2458,0.5011,3.6099,2.1224,0.082,1.0525,1.4798,1.1369,4.1298,0.2182
47,0.9085,11.6571,4.4151,2.8773,2.6475,0.1746,0.5872,2.3771,4.3748,1.174,2.9847,0.8855,0.5937,2.1262
35,0.9083,11.58,4.0013,2.8773,2.6519,3.9887,0.5873,1.4474,0.9295,4.7279,3.2256,0.8855,0.6327,2.1262
29,0.9077,11.5127,4.1432,4.482,3.2621,2.3704,0.8699,4.5783,4.2304,1.2245,2.8066,2.7269,4.1276,3.4926
39,0.9074,11.335,4.1783,2.8722,2.6475,0.1746,0.5872,2.4014,0.9093,1.4696,3.4777,0.8855,3.2133,2.1262
43,0.907,11.3245,4.2365,3.5207,3.3571,0.9828,0.882,1.0475,0.7096,2.429,1.2969,1.0972,2.7595,2.4575
45,0.9068,11.1563,4.1761,4.816,2.6941,0.9762,2.9963,0.2428,4.3784,1.7002,3.4777,0.8786,4.1174,2.3191
0,0.9065,11.0668,4.3312,4.9619,1.1386,4.0119,2.8733,1.4982,0.4254,2.4637,0.3827,0.9872,3.2298,2.4198
